"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date","has_company","has_agent","adr_win","lead_time_win","stays_in_week_nights_win","stays_in_weekend_nights_win"
"Resort Hotel","0",342,2015,"July",27,1,0,0,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"C","C",3,"No Deposit","0","0",0,"Transient",0,0,0,"Check-Out",2015-07-01,"No","No",0,342,0,0
"Resort Hotel","0",737,2015,"July",27,1,0,0,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"C","C",4,"No Deposit","0","0",0,"Transient",0,0,0,"Check-Out",2015-07-01,"No","No",0,347,0,0
"Resort Hotel","0",7,2015,"July",27,1,0,1,1,0,0,"BB","GBR","Direct","Direct","0",0,0,"A","C",0,"No Deposit","0","0",0,"Transient",75,0,0,"Check-Out",2015-07-02,"No","No",75,7,1,0
"Resort Hotel","0",13,2015,"July",27,1,0,1,1,0,0,"BB","GBR","Corporate","Corporate","0",0,0,"A","A",0,"No Deposit","304","0",0,"Transient",75,0,0,"Check-Out",2015-07-02,"No","Yes",75,13,1,0
"Resort Hotel","0",14,2015,"July",27,1,0,2,2,0,0,"BB","GBR","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",98,0,1,"Check-Out",2015-07-03,"No","Yes",98,14,2,0
"Resort Hotel","0",0,2015,"July",27,1,0,2,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"C","C",0,"No Deposit","0","0",0,"Transient",107,0,0,"Check-Out",2015-07-03,"No","No",107,0,2,0
"Resort Hotel","0",9,2015,"July",27,1,0,2,2,0,0,"FB","PRT","Direct","Direct","0",0,0,"C","C",0,"No Deposit","303","0",0,"Transient",103,0,1,"Check-Out",2015-07-03,"No","Yes",103,9,2,0
"Resort Hotel","1",85,2015,"July",27,1,0,3,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",82,0,1,"Canceled",2015-05-06,"No","Yes",82,85,3,0
"Resort Hotel","1",75,2015,"July",27,1,0,3,2,0,0,"HB","PRT","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","15","0",0,"Transient",105.5,0,0,"Canceled",2015-04-22,"No","Yes",105.5,75,3,0
"Resort Hotel","1",23,2015,"July",27,1,0,4,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","240","0",0,"Transient",123,0,0,"Canceled",2015-06-23,"No","Yes",123,23,4,0
"Resort Hotel","0",35,2015,"July",27,1,0,4,2,0,0,"HB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","240","0",0,"Transient",145,0,0,"Check-Out",2015-07-05,"No","Yes",145,35,4,0
"Resort Hotel","0",68,2015,"July",27,1,0,4,2,0,0,"BB","USA","Online TA","TA/TO","0",0,0,"D","E",0,"No Deposit","240","0",0,"Transient",97,0,3,"Check-Out",2015-07-05,"No","Yes",97,68,4,0
"Resort Hotel","0",18,2015,"July",27,1,0,4,2,1,0,"HB","ESP","Online TA","TA/TO","0",0,0,"G","G",1,"No Deposit","241","0",0,"Transient",154.77,0,1,"Check-Out",2015-07-05,"No","Yes",154.77,18,4,0
"Resort Hotel","0",37,2015,"July",27,1,0,4,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","241","0",0,"Transient",94.71,0,0,"Check-Out",2015-07-05,"No","Yes",94.71,37,4,0
"Resort Hotel","0",68,2015,"July",27,1,0,4,2,0,0,"BB","IRL","Online TA","TA/TO","0",0,0,"D","E",0,"No Deposit","240","0",0,"Transient",97,0,3,"Check-Out",2015-07-05,"No","Yes",97,68,4,0
"Resort Hotel","0",37,2015,"July",27,1,0,4,2,0,0,"BB","PRT","Offline TA/TO","TA/TO","0",0,0,"E","E",0,"No Deposit","8","0",0,"Contract",97.5,0,0,"Check-Out",2015-07-05,"No","Yes",97.5,37,4,0
"Resort Hotel","0",12,2015,"July",27,1,0,1,2,0,0,"BB","IRL","Online TA","TA/TO","0",0,0,"A","E",0,"No Deposit","240","0",0,"Transient",88.2,0,0,"Check-Out",2015-07-02,"No","Yes",88.2,12,1,0
"Resort Hotel","0",0,2015,"July",27,1,0,1,2,0,0,"BB","FRA","Corporate","Corporate","0",0,0,"A","G",0,"No Deposit","0","110",0,"Transient",107.42,0,0,"Check-Out",2015-07-02,"Yes","No",107.42,0,1,0
"Resort Hotel","0",7,2015,"July",27,1,0,4,2,0,0,"BB","GBR","Direct","Direct","0",0,0,"G","G",0,"No Deposit","250","0",0,"Transient",153,0,1,"Check-Out",2015-07-05,"No","Yes",153,7,4,0
"Resort Hotel","0",37,2015,"July",27,1,1,4,1,0,0,"BB","GBR","Online TA","TA/TO","0",0,0,"F","F",0,"No Deposit","241","0",0,"Transient",97.29,0,1,"Check-Out",2015-07-06,"No","Yes",97.29,37,4,1
"Resort Hotel","0",72,2015,"July",27,1,2,4,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"A","A",1,"No Deposit","250","0",0,"Transient",84.67,0,1,"Check-Out",2015-07-07,"No","Yes",84.67,72,4,2
"Resort Hotel","0",72,2015,"July",27,1,2,4,2,0,0,"BB","PRT","Direct","Direct","0",0,0,"D","D",1,"No Deposit","250","0",0,"Transient",99.67,0,1,"Check-Out",2015-07-07,"No","Yes",99.67,72,4,2
"Resort Hotel","0",127,2015,"July",27,1,2,5,2,0,0,"HB","GBR","Offline TA/TO","TA/TO","0",0,0,"D","I",0,"No Deposit","115","0",0,"Contract",94.95,0,1,"Check-Out",2015-07-01,"No","Yes",94.95,127,5,2
"Resort Hotel","0",78,2015,"July",27,1,2,5,2,0,0,"BB","PRT","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","5","0",0,"Transient",63.6,1,0,"Check-Out",2015-07-08,"No","Yes",63.6,78,5,2
"Resort Hotel","0",48,2015,"July",27,1,2,5,2,0,0,"BB","IRL","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","8","0",0,"Contract",79.5,0,0,"Check-Out",2015-07-08,"No","Yes",79.5,48,5,2
"Resort Hotel","1",60,2015,"July",27,1,2,5,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"E","E",0,"No Deposit","240","0",0,"Transient",107,0,2,"Canceled",2015-05-11,"No","Yes",107,60,5,2
"Resort Hotel","0",77,2015,"July",27,1,2,5,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"A","A",0,"No Deposit","240","0",0,"Transient",94,0,0,"Check-Out",2015-07-08,"No","Yes",94,77,5,2
"Resort Hotel","0",99,2015,"July",27,1,2,5,2,0,0,"BB","PRT","Online TA","TA/TO","0",0,0,"D","D",0,"No Deposit","240","0",0,"Transient",87.3,1,1,"Check-Out",2015-07-08,"No","Yes",87.3,99,5,2
"Resort Hotel","0",118,2015,"July",27,1,4,10,1,0,0,"BB","NULL","Direct","Direct","0",0,0,"A","A",2,"No Deposit","0","0",0,"Transient",62,0,2,"Check-Out",2015-07-15,"No","No",62,118,10,4
"Resort Hotel","0",95,2015,"July",27,1,4,11,2,0,0,"BB","GBR","Offline TA/TO","TA/TO","0",0,0,"D","D",0,"No Deposit","241","0",0,"Transient",63.86,0,0,"Check-Out",2015-07-16,"No","Yes",63.86,95,10,4
